,0,1
cntry,0.0,0.0
pspwght,0.0,0.0
anweight,0.0,0.0
nwspol,0.0,0.0
netusoft,0.0,0.0
netustm,0.0,0.0
ppltrst,0.0,0.0
pplhlp,0.0,0.0
psppsgva,0.0,0.0
psppipla,0.0,0.0
trstplc,0.0,0.0
trstprl,0.0,0.0
pbldmn,0.0,0.0
bctprd,0.0,0.0
gincdif,0.0,0.0
mnrgtjb,0.0,0.0
imsmetn,0.0,0.0
imdfetn,0.0,0.0
imwbcnt,0.0,0.0
happy,0.0,0.0
hlthhmp,0.0,0.0
rlgblg,0.0,0.0
rlgblge,0.0,0.0
dscrgrp,0.0,0.0
dscrage,0.0,0.0
dscrgnd,0.0,0.0
lnghom1,0.0,0.0
blgetmg,0.0,0.0
mocntr,0.0,0.0
gvrfgap,0.0,0.0
elgcoal,0.0,0.0
elgwind,0.0,0.0
elgbio,0.0,0.0
wrenexp,0.0,0.0
wrtcfl,0.0,0.0
clmchng,0.0,0.0
lkredcc,0.0,0.0
slvpens,0.0,0.0
sbbsntx,0.0,0.0
imsclbn,0.0,0.0
uentrjb,0.0,0.0
admub,0.0,0.0
lknemny,0.0,0.0
gndr,0.0,0.0
gndr3,0.0,0.0
yrbrn2,0.0,0.0
rshipa2,0.0,0.0
chldhm,0.0,0.0
cmsrv,0.0,0.0
hswrk,0.0,0.0
dngdk,0.0,0.0
dngna,0.0,0.0
icomdng,0.0,0.0
mnactic,0.0,0.0
icpdwrk,0.0,0.0
wkdcorga,0.0,0.0
icwhct,0.0,0.0
edulvlfb,0.0,0.0
occf14b,0.0,0.0
occm14b,0.0,0.0
imprich,0.0,0.0
ipeqopt,0.0,0.0
impsafe,0.0,0.0
ipudrst,0.0,0.0
inwmms,0.0,0.0
inwyys,0.0,0.0
